DATE,ACTION,PRICE,PROFIT,TOTAL_BALANCE
2024-01-22T05:30:00.000Z,BUY,41002.9,0,1140.081509309626
2024-01-22T08:45:00.000Z,SELL,40811,-5.335760193462386,1134.7457491161636
2024-01-22T11:00:00.000Z,BUY,40703.5,0,1134.7457491161636
2024-01-22T15:30:00.000Z,SELL,40456,-6.899887550364231,1127.8458615657994
2024-01-22T20:15:00.000Z,BUY,39967.9,0,1127.8458615657994
2024-01-22T22:45:00.000Z,SELL,39775.8,-5.4208299662176,1122.4250315995819
2024-01-23T10:00:00.000Z,BUY,38964.5,0,1122.4250315995819
2024-01-23T11:45:00.000Z,SELL,38757.2,-5.971556392372457,1116.4534752072095
2024-01-24T00:30:00.000Z,SELL,39881,0,1116.4534752072095
2024-01-24T01:00:00.000Z,BUY,40166.9,-8.003662108817302,1108.4498130983923
2024-01-24T08:00:00.000Z,SELL,39979.4,0,1108.4498130983923
2024-01-24T10:45:00.000Z,BUY,40275.8,-8.217845305391403,1100.2319677930009
2024-01-24T11:30:00.000Z,SELL,40206.4,0,1100.2319677930009
2024-01-24T21:00:00.000Z,BUY,39548,18.016851237487398,1118.2488190304882
2024-01-25T12:00:00.000Z,SELL,40165.5,0,1118.2488190304882
2024-01-25T17:15:00.000Z,BUY,39607.4,15.538077850416746,1133.786896880905
2024-01-26T03:30:00.000Z,SELL,40077.7,0,1133.786896880905
2024-01-26T09:45:00.000Z,BUY,40295.3,-6.155842994016412,1127.6310538868886
2024-01-26T12:30:00.000Z,SELL,41453.6,0,1127.6310538868886
2024-01-26T16:30:00.000Z,BUY,41798.4,-9.379334662856845,1118.2517192240318
2024-01-26T17:30:00.000Z,SELL,41753.7,0,1118.2517192240318
2024-01-26T18:30:00.000Z,BUY,42015.6,-7.0142316792230535,1111.2374875448088
2024-01-27T08:00:00.000Z,BUY,41699.1,0,1111.2374875448088
2024-01-27T09:00:00.000Z,SELL,41455.4,-6.49435061463357,1104.7431369301753
2024-01-27T22:00:00.000Z,SELL,42137.8,0,1104.7431369301753
2024-01-28T04:30:00.000Z,BUY,42387.8,-6.554347503489594,1098.1887894266856
2024-01-28T05:45:00.000Z,SELL,42463.4,0,1098.1887894266856
2024-01-28T19:45:00.000Z,BUY,41795.1,17.28357992939466,1115.4723693560802
2024-01-28T20:30:00.000Z,BUY,41772,0,1115.4723693560802
2024-01-29T03:30:00.000Z,SELL,42446.7,18.01707381989237,1133.4894431759726
2024-01-29T17:30:00.000Z,SELL,43102.1,0,1133.4894431759726
2024-01-30T01:15:00.000Z,BUY,43358,-6.7296013073314995,1126.7598418686412
2024-01-30T03:15:00.000Z,SELL,43526.9,0,1126.7598418686412
2024-01-30T23:30:00.000Z,BUY,42874.2,16.89612972179657,1143.6559715904377
2024-01-31T00:15:00.000Z,BUY,43002.2,0,1143.6559715904377
2024-01-31T01:30:00.000Z,SELL,42772.4,-6.111597598994415,1137.5443739914433
2024-01-31T10:45:00.000Z,BUY,42630,0,1137.5443739914433
2024-01-31T11:00:00.000Z,SELL,42375.9,-6.780436909012997,1130.7639370824304
2024-01-31T16:45:00.000Z,SELL,43333.9,0,1130.7639370824304
2024-01-31T17:30:00.000Z,BUY,43540.4,-5.388454604997978,1125.3754824774323
2024-01-31T22:00:00.000Z,BUY,42472.8,0,1125.3754824774323
2024-02-01T01:15:00.000Z,SELL,42263.2,-5.553641415853825,1119.8218410615784
2024-02-01T02:30:00.000Z,BUY,42109,0,1119.8218410615784
2024-02-01T15:15:00.000Z,SELL,42766.6,17.487825469189303,1137.3096665307678
2024-02-01T16:00:00.000Z,SELL,42500.1,0,1137.3096665307678
2024-02-01T17:15:00.000Z,BUY,42917.5,-11.169692655074792,1126.139973875693
2024-02-02T01:00:00.000Z,SELL,43156.1,0,1126.139973875693
2024-02-02T16:15:00.000Z,BUY,43371.5,-5.620770884598606,1120.5192029910943
2024-02-03T01:00:00.000Z,SELL,43213.4,0,1120.5192029910943
2024-02-04T20:00:00.000Z,BUY,42623.9,15.285676900295973,1135.8048798913903
2024-02-05T01:30:00.000Z,BUY,42407.5,0,1135.8048798913903
2024-02-05T07:45:00.000Z,SELL,43056.4,17.37956226048517,1153.1844421518756
2024-02-05T08:45:00.000Z,SELL,42978.1,0,1153.1844421518756
2024-02-05T10:45:00.000Z,BUY,43172,-5.202707037613351,1147.9817351142622
2024-02-05T14:30:00.000Z,SELL,43356.6,0,1147.9817351142622
2024-02-05T15:45:00.000Z,BUY,42762.3,15.735679116406754,1163.717414230669
2024-02-05T16:45:00.000Z,BUY,42568.3,0,1163.717414230669
2024-02-05T22:00:00.000Z,SELL,42368.5,-5.462063069544497,1158.2553511611245
2024-02-06T09:30:00.000Z,SELL,43015,0,1158.2553511611245
2024-02-06T16:00:00.000Z,BUY,43232,-5.843110803253842,1152.4122403578706
2024-02-06T17:00:00.000Z,SELL,43144.2,0,1152.4122403578706
