DATE,ACTION,PRICE,PROFIT,PROFIT_PERCENT,STOP_LOSS,TAKE_PROFIT,STOP_TAKE_CHECK,CHANGED_WAVE,BB_CHECK,SMA160,TOTAL_BALANCE
2021-01-04T17:00:00.000Z,SELL SHORT position entered,32092.2,0,,33054.966,29203.902000000002,,,,33185.92712500002,1000
2021-01-04T19:45:00.000Z,BUY SHORT position closed-2,29105.21,93.0752643944635,9.30752643944635,,,true,false,false,,1093.0752643944636
2021-01-04T20:00:00.000Z,SELL SHORT position entered,29774.67,0,,30667.910099999997,27094.9497,,,,33091.17775000003,1093.0752643944636
2021-01-04T20:45:00.000Z,BUY SHORT position closed-2,30247.03,-17.341083272774124,-1.5864491529209248,,,false,false,true,,1075.7341811216895
2021-01-05T00:45:00.000Z,SELL SHORT position entered,32044.53,0,,32525.197949999994,30602.526150000012,,,,32961.32431250002,1075.7341811216895
2021-01-05T02:00:00.000Z,BUY SHORT position closed-2,31200.3,28.340782895812907,2.6345526053900605,,,false,false,true,,1104.0749640175025
2021-01-05T05:45:00.000Z,SELL SHORT position entered,31414.64,0,,31940,29838.559999999998,,,,32812.161437500006,1104.0749640175025
2021-01-05T07:15:00.000Z,BUY SHORT position closed-2,31048.19,12.878972051381604,1.1664943478581984,,,false,false,true,,1116.953936068884
2021-01-05T19:45:00.000Z,SELL SHORT position entered,31607.4,0,,32081.511,30185.06700000001,,,,32003.87037499999,1116.953936068884
2021-01-05T23:45:00.000Z,BUY SHORT position closed-2,31544.01,2.240099154230021,0.20055430057519139,,,false,false,true,,1119.194035223114
2021-01-06T04:15:00.000Z,BUY LONG position entered,33411.5,0,,32409.155,36418.535,,,,31770.623312499993,1119.194035223114
2021-01-06T05:15:00.000Z,SELL LONG position closed-2,33747,11.238334071123857,1.0041452793199945,,,false,false,true,,1130.4323692942378
2021-01-06T10:00:00.000Z,BUY LONG position entered,33858.6,0,,33350.721,35382.237,,,,31902.5193125,1130.4323692942378
2021-01-06T13:45:00.000Z,SELL LONG position closed-2,35632.7,59.231629965943824,5.23973229844116,,,true,false,false,,1189.6639992601815
2021-01-06T14:00:00.000Z,BUY LONG position entered,35314.15,0,,34254.7255,38492.423500000004,,,,32246.814374999987,1189.6639992601815
2021-01-06T15:00:00.000Z,SELL LONG position closed-2,34794.99,-17.48947551777177,-1.470118918337277,,,false,false,true,,1172.1745237424097
2021-01-06T19:45:00.000Z,BUY LONG position entered,34266.36,0,,33650,36115.44,,,,32728.724687500002,1172.1745237424097
2021-01-06T20:45:00.000Z,SELL LONG position closed-2,34812.73,18.690079557243415,1.594479250203414,,,false,false,true,,1190.8646032996533
2021-01-07T00:45:00.000Z,BUY LONG position entered,34695,0,,34113.48,36439.55999999999,,,,33141.033,1190.8646032996533
