STOP_LOSS,TAKE_PROFIT,FINAL_BALANCE
1,1.5,936.1408209910767
1,1.7,983.8873380538982
1,1.9,799.1917131345327
1,2.1,1911.9064331426591
1,2.3000000000000003,1005.8196599114524
1,2.5000000000000004,656.8544879735897
1,2.7000000000000006,243.16769132269664
1,2.900000000000001,301.36733639801884
1,3.100000000000001,205.21128028844416
1,3.300000000000001,471.43856919665643
1,3.5000000000000013,966.867768382808
1,3.7000000000000015,1333.6905158158295
1,3.9000000000000017,616.8292915463658
1,4.100000000000001,476.3650518907503
1,4.300000000000002,346.4004778479397
1.2,1.5,1136.0038532029432
1.2,1.7,1782.342802341557
1.2,1.9,1395.5624876469599
1.2,2.1,1749.741212489287
1.2,2.3000000000000003,1174.342704611266
1.2,2.5000000000000004,755.973923178996
1.2,2.7000000000000006,528.6079174637457
1.2,2.900000000000001,875.2765574969957
1.2,3.100000000000001,546.5345758066225
1.2,3.300000000000001,592.2646619549859
1.2,3.5000000000000013,757.8002586654612
1.2,3.7000000000000015,843.5585831289387
1.2,3.9000000000000017,1400.5610460590976
1.2,4.100000000000001,926.5027036001292
1.2,4.300000000000002,263.8462035806672
1.4,1.5,1213.2045675991264
1.4,1.7,690.7286567071556
1.4,1.9,795.6275392773003
1.4,2.1,1623.326522062351
1.4,2.3000000000000003,406.34637671203444
1.4,2.5000000000000004,470.397778352938
1.4,2.7000000000000006,404.2845223526232
1.4,2.900000000000001,685.0671575979394
1.4,3.100000000000001,288.9710819963075
1.4,3.300000000000001,785.1428869687812
1.4,3.5000000000000013,305.3017364484011
1.4,3.7000000000000015,362.16084804508705
1.4,3.9000000000000017,400.2620978396898
1.4,4.100000000000001,554.4142029854671
1.4,4.300000000000002,196.51912532902855
1.5999999999999999,1.5,1363.010213107672
1.5999999999999999,1.7,1944.407715205993
1.5999999999999999,1.9,943.2323463533571
1.5999999999999999,2.1,1275.808662231954
1.5999999999999999,2.3000000000000003,919.358683923667
1.5999999999999999,2.5000000000000004,683.7540949780516
1.5999999999999999,2.7000000000000006,1038.1991885867787
1.5999999999999999,2.900000000000001,1548.1327818860316
1.5999999999999999,3.100000000000001,544.6064296486463
1.5999999999999999,3.300000000000001,1164.8128074803888
1.5999999999999999,3.5000000000000013,1330.530922609949
1.5999999999999999,3.7000000000000015,922.7976080962964
1.5999999999999999,3.9000000000000017,1048.7022608424838
1.5999999999999999,4.100000000000001,1937.058086374457
1.5999999999999999,4.300000000000002,1447.9974410569323
1.7999999999999998,1.5,394.45821691463175
1.7999999999999998,1.7,2300.2209604602167
1.7999999999999998,1.9,2098.66832102608
1.7999999999999998,2.1,2587.4631629969313
1.7999999999999998,2.3000000000000003,1128.1105512153529
1.7999999999999998,2.5000000000000004,1771.416406603982
1.7999999999999998,2.7000000000000006,489.0320340115179
1.7999999999999998,2.900000000000001,1472.5849880073827
1.7999999999999998,3.100000000000001,1150.810075685
1.7999999999999998,3.300000000000001,1106.3739470645382
1.7999999999999998,3.5000000000000013,911.9540701860195
1.7999999999999998,3.7000000000000015,977.7943612535336
1.7999999999999998,3.9000000000000017,267.4265824740291
1.7999999999999998,4.100000000000001,455.09557674454925
1.7999999999999998,4.300000000000002,508.42396641481935
1.9999999999999998,1.5,1649.4128092036224
1.9999999999999998,1.7,1241.0430398446815
1.9999999999999998,1.9,2070.2127016247446
1.9999999999999998,2.1,860.1394152653791
1.9999999999999998,2.3000000000000003,1159.8439526475097
1.9999999999999998,2.5000000000000004,1695.947333327318
1.9999999999999998,2.7000000000000006,779.8991765027798
1.9999999999999998,2.900000000000001,1453.3856864976117
1.9999999999999998,3.100000000000001,897.924679997938
1.9999999999999998,3.300000000000001,2284.326200979042
1.9999999999999998,3.5000000000000013,860.3676383999932
1.9999999999999998,3.7000000000000015,982.2055787983345
1.9999999999999998,3.9000000000000017,808.0133910426947
1.9999999999999998,4.100000000000001,890.1400189652009
1.9999999999999998,4.300000000000002,582.0557292547866
2.1999999999999997,1.5,1768.3795625165599
2.1999999999999997,1.7,1474.0393731358472
2.1999999999999997,1.9,2698.4048431151705
2.1999999999999997,2.1,1597.0128171191084
2.1999999999999997,2.3000000000000003,1125.4076215157666
2.1999999999999997,2.5000000000000004,716.4380847293669
2.1999999999999997,2.7000000000000006,486.81955669985535
2.1999999999999997,2.900000000000001,519.4711632750856
2.1999999999999997,3.100000000000001,489.4146704343559
2.1999999999999997,3.300000000000001,740.2770415322059
2.1999999999999997,3.5000000000000013,318.83786069217604
2.1999999999999997,3.7000000000000015,774.6043279355198
2.1999999999999997,3.9000000000000017,540.0273071249592
2.1999999999999997,4.100000000000001,407.01205261495704
2.1999999999999997,4.300000000000002,318.6263044556177
2.4,1.5,806.4460242612654
2.4,1.7,993.2768181625155
2.4,1.9,3059.392073119499
2.4,2.1,1375.9373877941475
2.4,2.3000000000000003,592.1902441865817
2.4,2.5000000000000004,256.83816218647246
2.4,2.7000000000000006,303.8796065802291
2.4,2.900000000000001,298.11143101345937
2.4,3.100000000000001,201.29014645231226
2.4,3.300000000000001,915.989622258478
2.4,3.5000000000000013,623.6998831040604
2.4,3.7000000000000015,981.8707667855234
2.4,3.9000000000000017,240.35685196439584
